"","screenName","location","latitude","longitude","state"
"565","kramer30","Southern California",34.9592083,-116.419389,"California"
"566","amanda7085","Somewhere in  Ga<U+0001F351>",32.1656221,-82.9000751,"Georgia"
"568","aishaonearth","earth",37.2321077,-95.7243335,"Kansas"
"571","AACMaven","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"572","OccuWorld","Earth",37.2321077,-95.7243335,"Kansas"
"573","FutureOfTalent","Virtual",38.8996225,-95.3154114,"Kansas"
"574","DrToddWo","Pittsburgh, PA",40.4406248,-79.9958864,"Pennsylvania"
"575","BletschW","Near Canton, OH",40.7989473,-81.378447,"Ohio"
"577","sarah_martin_19","Knoxville, IA",41.320343,-93.09967,"Iowa"
"578","2Awarrior","Florida",27.6648274,-81.5157535,"Florida"
"583","kare11","Minneapolis, MN",44.977753,-93.2650108,"Minnesota"
"584","BioCentury","Redwood City, CA",37.4852152,-122.2363548,"California"
"585","sueshoe29","Sun City West,AZ",33.6619819,-112.3412726,"Arizona"
"586","iBoldNews","New York",40.7127753,-74.0059728,"New York"
"587","tomjames206","Seattle",47.6062095,-122.3320708,"Washington"
"590","JOCOHealth","Olathe, KS",38.8813958,-94.8191285,"Kansas"
"591","Gewiretz","New York, USA",40.7127753,-74.0059728,"New York"
"592","ColleenHuberNMD","Tempe, AZ",33.4255104,-111.9400054,"Arizona"
"594","cyanfiremusic","Orlando, FL",28.5383355,-81.3792365,"Florida"
"595","Nymnurse","New York, USA",40.7127753,-74.0059728,"New York"
"596","GoldsteinStreet","Seattle, WA",47.6062095,-122.3320708,"Washington"
"597","HumanistTim","California USA",36.778261,-119.4179324,"California"
"598","elizabeth_fodor","Illinois, USA",40.6331249,-89.3985283,"Illinois"
"599","DrAurore","Birmingham,MI",42.5467012,-83.2113192,"Michigan"
"601","GarwoodStevens","Organic Farm",37.9468742,-95.0064737,"Kansas"
"603","TrumpFanNevada","Nevada, USA",38.8026097,-116.419389,"Nevada"
"604","Franklin_E_T","Arkansas, USA",35.20105,-91.8318334,"Arkansas"
"605","BlairStenvick","Portland, OR",45.5122308,-122.6587185,"Oregon"
"606","tonyhueck_gr8","Homer Glen, IL",41.6000317,-87.9381112,"Illinois"
"607","FallennAangel","Detroit, MI",42.331427,-83.0457538,"Michigan"
"608","32Lar23","North Carolina",35.7595731,-79.0192997,"North Carolina"
"609","Wallace_Noll","Mesa, Arizona (USA)",33.4151843,-111.8314724,"Arizona"
"610","Lordknoxx","Florida, USA",27.6648274,-81.5157535,"Florida"
"611","WUSTLmed","St. Louis, MO",38.6270025,-90.1994042,"Missouri"
"612","JLuriaLISW","Iowa City, IA",41.6611277,-91.5301683,"Iowa"
"616","ThomBurke","Albertville, AL",34.2675937,-86.2088669,"Alabama"
"619","EvilCEOE","Metropolis, USA",37.1511655,-88.7319979,"Illinois"
"620","j082298","FL",27.6648274,-81.5157535,"Florida"
"621","onewaytweeta","Arizona, USA",34.0489281,-111.0937311,"Arizona"
"624","megmarieritter","Atwater Village, Los Angeles",34.1172904,-118.2614332,"California"
"626","artofperson","South Florida",27.6648274,-81.5157535,"Florida"
"627","cjdinger","Raleigh, NC",35.7795897,-78.6381787,"North Carolina"
"628","biospace","Des Moines, IA",41.5868353,-93.6249593,"Iowa"
"629","stopvaccinating","Los Angeles",34.0522342,-118.2436849,"California"
"630","eurobird","Florida and Europe ",26.221971,-80.140071,"Florida"
"631","aubreywieber","Portland, OR",45.5122308,-122.6587185,"Oregon"
"634","belllaaaxo","NY<U+0001F501>SATX <U+2661>",29.5418178,-98.5528425,"Texas"
"636","NYY001","Austin, TX",30.267153,-97.7430608,"Texas"
"637","CCurrentArgus","Carlsbad, NM",32.4206736,-104.2288375,"New Mexico"
"638","kirtybuis"," t-town, washington ",47.2437077,-122.4395527,"Washington"
"639","slealey53","New Orleans, LA",29.9510658,-90.0715323,"Louisiana"
"640","yayayarndiva","Sonoma County, California",38.5779555,-122.9888319,"California"
"641","internetptyorg","Philadelphia PA",39.9525839,-75.1652215,"Pennsylvania"
"642","Truedeth","Wisconsin",43.7844397,-88.7878678,"Wisconsin"
"643","AshleyAceves6","Bakersfield,CA",35.3732921,-119.0187125,"California"
"645","MaxKennerly","Philadelphia, Pennsylvania",39.9525839,-75.1652215,"Pennsylvania"
"648","Cinderellah02","Seattle WA",47.6062095,-122.3320708,"Washington"
"649","roselawgroup","Scottsdale, AZ",33.4941704,-111.9260519,"Arizona"
"650","LumaCyte","Charlottesville Area",38.0293059,-78.4766781,"Virginia"
"651","DChurchy1","Connecticut, USA",41.6032207,-73.087749,"Connecticut"
"653","mignon_dunbar","San Francisco, CA",37.7749295,-122.4194155,"California"
"654","LKChapman147","Albuquerque NM",35.0843859,-106.650422,"New Mexico"
"660","AndyVermaut","One world",40.7133444,-74.0133677,"New York"
"662","OR4MedFreedom","Oregon",43.8041334,-120.5542012,"Oregon"
